               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 114,              2.1315,              1.6927,               1.208,             0.71618,             0.60616,             0.67118,             0.35912,                   0,                   0,                   0,           0.0097903,           0.0097903,           0.0097903
                 115,              2.1034,              1.6303,              1.2355,             0.72683,             0.58203,             0.65923,             0.35563,                   0,                   0,                   0,           0.0097537,           0.0097537,           0.0097537
                 116,              2.0525,              1.6534,              1.2418,             0.72358,             0.57711,             0.66357,             0.37696,                   0,                   0,                   0,           0.0097168,           0.0097168,           0.0097168
                 117,              2.0513,              1.6734,              1.2203,             0.71611,             0.63016,             0.68875,             0.37334,                   0,                   0,                   0,           0.0096798,           0.0096798,           0.0096798
                 118,              2.0744,              1.6272,              1.2251,             0.79109,             0.60106,             0.68448,             0.36935,                   0,                   0,                   0,           0.0096425,           0.0096425,           0.0096425
                 119,              2.0922,              1.7375,              1.2318,             0.75241,             0.60669,             0.68077,             0.37928,                   0,                   0,                   0,           0.0096049,           0.0096049,           0.0096049
                 120,              2.1069,              1.6779,              1.2308,              0.6958,              0.6375,              0.6831,             0.38846,                   0,                   0,                   0,           0.0095672,           0.0095672,           0.0095672
                 121,              2.0898,              1.6591,              1.2105,              0.7172,             0.61405,             0.67845,             0.38685,                   0,                   0,                   0,           0.0095292,           0.0095292,           0.0095292
                 122,              2.1388,              1.6706,              1.2229,             0.74407,             0.62385,             0.68151,             0.37432,                   0,                   0,                   0,            0.009491,            0.009491,            0.009491
                 123,              2.0874,              1.6289,              1.2278,             0.67989,             0.63863,             0.68103,             0.36995,                   0,                   0,                   0,           0.0094526,           0.0094526,           0.0094526
                 124,              2.0472,              1.6186,              1.2116,             0.69789,             0.63106,             0.68771,             0.39346,                   0,                   0,                   0,            0.009414,            0.009414,            0.009414
                 125,              2.1057,              1.6252,              1.2343,             0.75317,             0.59759,             0.68429,             0.39267,                   0,                   0,                   0,           0.0093751,           0.0093751,           0.0093751
                 126,              2.1196,              1.7042,              1.2199,             0.81537,             0.59353,             0.69747,             0.38878,                   0,                   0,                   0,           0.0093361,           0.0093361,           0.0093361
                 127,              2.1242,              1.6641,              1.2256,             0.74987,             0.61637,             0.69156,             0.39506,                   0,                   0,                   0,           0.0092968,           0.0092968,           0.0092968
                 128,              2.0981,              1.6358,               1.235,             0.81027,             0.56953,             0.69478,             0.39717,                   0,                   0,                   0,           0.0092574,           0.0092574,           0.0092574
                 129,               2.095,              1.5856,              1.2258,              0.8194,             0.59132,             0.69474,             0.38532,                   0,                   0,                   0,           0.0092177,           0.0092177,           0.0092177
                 130,              2.0968,              1.6209,              1.2047,              0.8241,             0.60228,             0.70833,             0.39737,                   0,                   0,                   0,           0.0091779,           0.0091779,           0.0091779
                 131,              2.0496,              1.5974,              1.2039,             0.77955,             0.62433,             0.71398,             0.41423,                   0,                   0,                   0,           0.0091379,           0.0091379,           0.0091379
                 132,               2.044,              1.6452,              1.2319,             0.77248,             0.62018,             0.69931,             0.39026,                   0,                   0,                   0,           0.0090976,           0.0090976,           0.0090976
                 133,              1.9836,              1.5556,              1.2326,             0.81269,             0.60855,             0.70432,             0.40307,                   0,                   0,                   0,           0.0090572,           0.0090572,           0.0090572
                 134,               2.048,              1.5923,              1.2314,             0.81142,             0.57477,             0.70058,             0.39693,                   0,                   0,                   0,           0.0090166,           0.0090166,           0.0090166
                 135,              2.0764,              1.5647,              1.2118,             0.78043,             0.61362,             0.69718,             0.40276,                   0,                   0,                   0,           0.0089758,           0.0089758,           0.0089758
                 136,              2.0606,              1.5576,              1.2226,             0.78935,             0.60997,             0.70686,             0.40359,                   0,                   0,                   0,           0.0089348,           0.0089348,           0.0089348
                 137,              2.0473,              1.5686,              1.2291,              0.7745,             0.62591,             0.71054,              0.4048,                   0,                   0,                   0,           0.0088936,           0.0088936,           0.0088936
                 138,              1.9966,               1.463,               1.214,             0.81795,             0.64595,              0.7179,             0.41063,                   0,                   0,                   0,           0.0088523,           0.0088523,           0.0088523
                 139,              2.0592,              1.5765,              1.2176,             0.78969,             0.59628,             0.69566,             0.40499,                   0,                   0,                   0,           0.0088108,           0.0088108,           0.0088108
                 140,              2.0832,               1.535,              1.2316,             0.78059,             0.63334,             0.71138,             0.41394,                   0,                   0,                   0,           0.0087691,           0.0087691,           0.0087691
                 141,              2.0411,              1.5061,              1.2295,             0.85729,             0.59271,             0.71176,             0.39082,                   0,                   0,                   0,           0.0087272,           0.0087272,           0.0087272
                 142,              2.0229,              1.5308,              1.2299,             0.74429,             0.62961,              0.7013,             0.37802,                   0,                   0,                   0,           0.0086852,           0.0086852,           0.0086852
                 143,              1.9941,              1.4834,               1.202,             0.80014,             0.61911,             0.72301,             0.40193,                   0,                   0,                   0,            0.008643,            0.008643,            0.008643
                 144,              1.9498,              1.4201,              1.1925,             0.84583,             0.62038,             0.73476,             0.41495,                   0,                   0,                   0,           0.0086006,           0.0086006,           0.0086006
                 145,              2.0525,              1.5064,              1.2021,             0.76755,             0.63894,             0.71939,             0.42922,                   0,                   0,                   0,           0.0085581,           0.0085581,           0.0085581
                 146,              1.9603,              1.4894,              1.2273,             0.78069,             0.60872,             0.70582,             0.41895,                   0,                   0,                   0,           0.0085154,           0.0085154,           0.0085154
                 147,              2.0167,              1.5109,              1.2039,             0.77151,             0.62747,             0.72981,              0.4304,                   0,                   0,                   0,           0.0084726,           0.0084726,           0.0084726
                 148,              2.0175,              1.4631,              1.1985,             0.76787,             0.63655,             0.72279,             0.43496,                   0,                   0,                   0,           0.0084296,           0.0084296,           0.0084296
                 149,              1.9869,              1.5229,              1.1804,             0.77431,             0.64534,             0.72393,             0.39659,                   0,                   0,                   0,           0.0083865,           0.0083865,           0.0083865
                 150,              2.0266,              1.5079,              1.1929,             0.78542,             0.63092,             0.73072,             0.42571,                   0,                   0,                   0,           0.0083432,           0.0083432,           0.0083432
                 151,              1.9394,              1.4064,              1.1822,             0.76017,             0.66217,             0.73896,              0.4432,                   0,                   0,                   0,           0.0082998,           0.0082998,           0.0082998
                 152,              1.9779,              1.4521,              1.2003,             0.81645,             0.62779,              0.7196,             0.39981,                   0,                   0,                   0,           0.0082562,           0.0082562,           0.0082562
                 153,              1.9949,              1.5065,              1.1989,             0.82354,             0.61782,             0.73144,             0.42896,                   0,                   0,                   0,           0.0082125,           0.0082125,           0.0082125
                 154,              2.0414,              1.5347,              1.2082,             0.78271,             0.62964,             0.71952,             0.41194,                   0,                   0,                   0,           0.0081687,           0.0081687,           0.0081687
                 155,              1.9783,              1.4371,              1.2265,             0.75262,             0.66911,             0.72114,             0.40606,                   0,                   0,                   0,           0.0081247,           0.0081247,           0.0081247
                 156,              1.9204,              1.4165,              1.2083,             0.77102,             0.65686,              0.7302,             0.43184,                   0,                   0,                   0,           0.0080806,           0.0080806,           0.0080806
                 157,              1.9307,              1.4076,               1.229,              0.7846,             0.63076,             0.72334,             0.40701,                   0,                   0,                   0,           0.0080364,           0.0080364,           0.0080364
                 158,              2.0082,              1.4724,              1.1986,              0.7723,             0.66879,             0.73613,             0.43013,                   0,                   0,                   0,            0.007992,            0.007992,            0.007992
                 159,              1.9527,              1.4074,              1.1699,             0.80041,             0.67404,             0.73521,             0.43333,                   0,                   0,                   0,           0.0079476,           0.0079476,           0.0079476
                 160,              1.9944,              1.4373,              1.2133,              0.7979,             0.62915,              0.7272,              0.3995,                   0,                   0,                   0,            0.007903,            0.007903,            0.007903
                 161,              1.9246,              1.4225,              1.2001,             0.80431,             0.66746,             0.73083,             0.42327,                   0,                   0,                   0,           0.0078582,           0.0078582,           0.0078582
                 162,              1.9238,               1.396,              1.2085,             0.79223,             0.66166,             0.72593,             0.39972,                   0,                   0,                   0,           0.0078134,           0.0078134,           0.0078134
                 163,                1.94,              1.4224,              1.1881,             0.81313,             0.62775,             0.72915,             0.44222,                   0,                   0,                   0,           0.0077685,           0.0077685,           0.0077685
                 164,              1.9869,              1.4783,              1.1999,             0.85265,             0.62723,              0.7336,             0.41112,                   0,                   0,                   0,           0.0077234,           0.0077234,           0.0077234
                 165,              1.9504,              1.4007,              1.2002,             0.85132,             0.63347,             0.72758,             0.43035,                   0,                   0,                   0,           0.0076783,           0.0076783,           0.0076783
