               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  99,              1.5221,              1.1031,              1.1371,             0.83159,             0.62715,             0.71957,             0.40129,                   0,                   0,                   0,          0.00040286,          0.00040286,          0.00040286
                 100,              1.5096,              1.1262,              1.1392,             0.79363,             0.63883,             0.71855,             0.41229,                   0,                   0,                   0,          0.00038902,          0.00038902,          0.00038902
                 101,              1.5136,                1.11,              1.1353,             0.79878,             0.63916,             0.72498,             0.41841,                   0,                   0,                   0,          0.00037534,          0.00037534,          0.00037534
                 102,              1.5323,              1.1098,              1.1502,              0.8446,             0.59698,             0.71787,             0.39332,                   0,                   0,                   0,          0.00036182,          0.00036182,          0.00036182
                 103,               1.529,               1.113,              1.1343,             0.80924,             0.62116,             0.71574,             0.41806,                   0,                   0,                   0,          0.00034848,          0.00034848,          0.00034848
                 104,              1.4962,              1.0882,              1.1459,             0.80544,             0.61331,             0.71525,              0.4149,                   0,                   0,                   0,          0.00033531,          0.00033531,          0.00033531
                 105,              1.5116,              1.1247,              1.1425,             0.81179,              0.6318,             0.72207,             0.42051,                   0,                   0,                   0,          0.00032232,          0.00032232,          0.00032232
                 106,              1.5107,               1.106,              1.1441,             0.81074,             0.63843,             0.72019,             0.39882,                   0,                   0,                   0,          0.00030952,          0.00030952,          0.00030952
                 107,              1.5326,               1.121,              1.1517,             0.83928,             0.61696,             0.72201,             0.40667,                   0,                   0,                   0,          0.00029691,          0.00029691,          0.00029691
                 108,              1.5284,              1.1214,              1.1322,              0.8189,             0.63406,             0.72226,             0.42404,                   0,                   0,                   0,           0.0002845,           0.0002845,           0.0002845
                 109,              1.4667,              1.0769,               1.129,             0.81444,             0.62299,             0.72244,             0.40739,                   0,                   0,                   0,           0.0002723,           0.0002723,           0.0002723
                 110,              1.4819,              1.0904,               1.136,             0.83357,             0.61276,             0.72555,             0.41821,                   0,                   0,                   0,          0.00026031,          0.00026031,          0.00026031
                 111,              1.4951,              1.0883,                1.14,             0.78855,             0.64282,             0.72228,              0.4213,                   0,                   0,                   0,          0.00024853,          0.00024853,          0.00024853
                 112,              1.4737,              1.0912,              1.1491,             0.80402,             0.63469,             0.71993,             0.40163,                   0,                   0,                   0,          0.00023697,          0.00023697,          0.00023697
                 113,              1.5304,              1.1082,              1.1322,             0.80062,              0.6506,             0.72711,             0.40344,                   0,                   0,                   0,          0.00022563,          0.00022563,          0.00022563
                 114,              1.4972,              1.1059,              1.1406,             0.82936,              0.6357,             0.72535,             0.42026,                   0,                   0,                   0,          0.00021453,          0.00021453,          0.00021453
                 115,              1.5036,               1.088,              1.1486,             0.77514,             0.64957,             0.72248,             0.40542,                   0,                   0,                   0,          0.00020366,          0.00020366,          0.00020366
                 116,              1.4744,              1.1001,               1.136,             0.77868,             0.66593,             0.72601,             0.42866,                   0,                   0,                   0,          0.00019303,          0.00019303,          0.00019303
                 117,              1.4855,              1.0715,              1.1408,             0.83614,             0.61829,              0.7281,             0.41809,                   0,                   0,                   0,          0.00018265,          0.00018265,          0.00018265
                 118,              1.4706,              1.0739,               1.139,             0.81058,             0.62888,              0.7289,             0.42227,                   0,                   0,                   0,          0.00017251,          0.00017251,          0.00017251
                 119,              1.4647,              1.0808,              1.1351,             0.83595,             0.60905,             0.72132,             0.40114,                   0,                   0,                   0,          0.00016263,          0.00016263,          0.00016263
                 120,              1.5112,              1.1053,              1.1364,             0.79414,             0.63815,             0.72701,             0.41563,                   0,                   0,                   0,          0.00015301,          0.00015301,          0.00015301
                 121,              1.4776,              1.0889,              1.1429,             0.81121,             0.62649,             0.72511,             0.41998,                   0,                   0,                   0,          0.00014364,          0.00014364,          0.00014364
                 122,              1.4732,              1.0847,               1.146,             0.80723,             0.62523,             0.72023,              0.4215,                   0,                   0,                   0,          0.00013455,          0.00013455,          0.00013455
                 123,              1.4941,              1.0959,              1.1363,             0.82629,             0.61022,             0.72435,             0.41325,                   0,                   0,                   0,          0.00012572,          0.00012572,          0.00012572
                 124,              1.4645,              1.0951,              1.1296,             0.81542,             0.62682,             0.72432,             0.40573,                   0,                   0,                   0,          0.00011717,          0.00011717,          0.00011717
                 125,              1.4715,              1.0911,              1.1439,             0.83924,             0.60279,             0.72432,             0.40977,                   0,                   0,                   0,          0.00010889,          0.00010889,          0.00010889
                 126,              1.4739,              1.0856,              1.1509,             0.85011,             0.60158,             0.72416,             0.42839,                   0,                   0,                   0,           0.0001009,           0.0001009,           0.0001009
                 127,              1.4786,              1.0702,              1.1407,             0.81791,             0.61731,             0.72523,             0.41731,                   0,                   0,                   0,          9.3192e-05,          9.3192e-05,          9.3192e-05
                 128,              1.4668,              1.0858,              1.1527,             0.81247,             0.61275,             0.72552,              0.4186,                   0,                   0,                   0,          8.5772e-05,          8.5772e-05,          8.5772e-05
                 129,              1.4609,              1.0685,               1.144,             0.85116,             0.60078,             0.72649,             0.41509,                   0,                   0,                   0,          7.8643e-05,          7.8643e-05,          7.8643e-05
                 130,              1.4694,              1.0766,              1.1399,             0.77971,             0.63739,             0.72555,             0.40558,                   0,                   0,                   0,          7.1808e-05,          7.1808e-05,          7.1808e-05
                 131,              1.4535,              1.0547,              1.1419,             0.78839,             0.64426,             0.72621,             0.41644,                   0,                   0,                   0,          6.5271e-05,          6.5271e-05,          6.5271e-05
                 132,               1.486,              1.0682,              1.1413,             0.80374,             0.63403,             0.72775,             0.41681,                   0,                   0,                   0,          5.9035e-05,          5.9035e-05,          5.9035e-05
                 133,              1.4771,              1.0719,              1.1316,             0.83184,              0.6128,             0.72293,             0.41234,                   0,                   0,                   0,          5.3102e-05,          5.3102e-05,          5.3102e-05
                 134,              1.4382,              1.0471,              1.1405,             0.82188,              0.6257,             0.72864,             0.41992,                   0,                   0,                   0,          4.7474e-05,          4.7474e-05,          4.7474e-05
                 135,              1.4908,              1.0982,              1.1426,             0.85671,             0.62303,             0.72824,             0.40529,                   0,                   0,                   0,          4.2155e-05,          4.2155e-05,          4.2155e-05
                 136,              1.4346,              1.0554,               1.126,             0.85459,             0.61841,             0.72142,             0.41455,                   0,                   0,                   0,          3.7147e-05,          3.7147e-05,          3.7147e-05
                 137,              1.4709,              1.1112,              1.1558,             0.84958,              0.6213,             0.72584,             0.42122,                   0,                   0,                   0,          3.2451e-05,          3.2451e-05,          3.2451e-05
                 138,              1.4524,              1.0669,              1.1382,             0.81851,             0.62608,             0.72577,             0.41592,                   0,                   0,                   0,           2.807e-05,           2.807e-05,           2.807e-05
                 139,              1.4785,              1.0876,              1.1467,             0.85166,              0.6174,              0.7282,             0.41613,                   0,                   0,                   0,          2.4006e-05,          2.4006e-05,          2.4006e-05
                 140,              1.3326,             0.97999,              1.1019,             0.85063,             0.61301,             0.72801,             0.41549,                   0,                   0,                   0,           2.026e-05,           2.026e-05,           2.026e-05
                 141,              1.3203,             0.95295,              1.1007,              0.8458,             0.61382,             0.72677,             0.41868,                   0,                   0,                   0,          1.6834e-05,          1.6834e-05,          1.6834e-05
                 142,               1.348,             0.98839,              1.0987,             0.84361,             0.61454,             0.72734,             0.41735,                   0,                   0,                   0,          1.3731e-05,          1.3731e-05,          1.3731e-05
                 143,              1.3373,             0.95957,              1.1156,             0.84159,             0.61443,             0.72771,             0.41231,                   0,                   0,                   0,           1.095e-05,           1.095e-05,           1.095e-05
                 144,              1.3257,             0.95251,              1.1025,              0.8492,             0.61437,             0.72769,             0.41033,                   0,                   0,                   0,          8.4933e-06,          8.4933e-06,          8.4933e-06
                 145,              1.3259,             0.95942,              1.1227,             0.84851,             0.61682,             0.72727,             0.41248,                   0,                   0,                   0,          6.3622e-06,          6.3622e-06,          6.3622e-06
                 146,              1.3229,             0.95615,              1.1116,             0.84594,             0.61576,             0.72706,             0.41219,                   0,                   0,                   0,          4.5573e-06,          4.5573e-06,          4.5573e-06
                 147,               1.338,             0.96946,              1.1132,             0.84496,             0.61566,             0.72704,             0.41182,                   0,                   0,                   0,          3.0796e-06,          3.0796e-06,          3.0796e-06
                 148,              1.3125,             0.94505,              1.1112,             0.84383,             0.61634,             0.72715,             0.41266,                   0,                   0,                   0,          1.9295e-06,          1.9295e-06,          1.9295e-06
                 149,              1.3456,              0.9693,              1.1155,             0.84226,             0.61814,              0.7269,             0.41049,                   0,                   0,                   0,          1.1077e-06,          1.1077e-06,          1.1077e-06
